date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1939-10-04,Partial,,,60.5S,85.4E,-60.51633000,85.41205000,32,-1.54808000,.03666000,.00000000
-1938-03-02,Total,00:01:21,81,41.0S,2.1W,-41.02371000,-2.05823000,-1,-.51556000,1.01687000,66.90000000
-1938-08-25,Hybrid,00:00:23,23,52.6N,15.0W,52.55598000,-15.02417000,4,.64444000,1.00498000,22.40000000
-1937-02-19,Annular,00:04:29,269,4.4S,145.3W,-4.41400000,-145.28625000,9,.23517000,.96135000,143.70000000
-1937-08-14,Total,00:05:05,305,14.8N,108.7E,14.77702000,108.67950000,14,-.09339000,1.05742000,189.90000000
-1936-02-08,Annular,00:07:38,458,53.9N,167.7E,53.88765000,167.74451000,19,.97928000,.92018000,.00000000
-1936-08-03,Total,00:04:40,280,29.8S,153.4W,-29.78656000,-153.43555000,24,-.80109000,1.05482000,300.10000000
-1936-12-28,Partial,,,66.2S,117.4W,-66.24689000,-117.40417000,-9,-1.25786000,.52160000,.00000000
-1935-06-24,Partial,,,67.0N,18.0W,66.98302000,-18.02954000,-4,1.09965000,.80727000,.00000000
-1935-12-18,Hybrid,00:01:11,71,53.2S,80.5W,-53.22647000,-80.48358000,1,-.50700000,1.01502000,60.00000000
-1934-06-13,Annular,00:04:44,284,42.5N,81.0E,42.52580000,80.95294000,6,.35940000,.95584000,172.70000000
-1934-12-07,Total,00:04:28,268,10.4S,60.5E,-10.44583000,60.45593000,11,.17878000,1.04682000,158.30000000
-1933-06-02,Annular,00:06:39,399,4.8S,77.7E,-4.76029000,77.71423000,16,-.40597000,.95125000,195.00000000
-1933-11-27,Total,00:01:39,99,40.1N,160.5W,40.14574000,-160.54852000,21,.85531000,1.01937000,127.70000000
-1932-04-22,Partial,,,71.2N,75.4E,71.22614000,75.42560000,-12,1.52099000,.04007000,.00000000
-1932-05-21,Partial,,,69.9S,59.9E,-69.87222000,59.86884000,26,-1.15047000,.71353000,.00000000
-1932-10-17,Partial,,,71.6S,153.6E,-71.63963000,153.64984000,-7,-1.31524000,.42285000,.00000000
-1931-04-12,Total,00:04:33,273,44.8N,40.6W,44.81224000,-40.58264000,-2,.71584000,1.06084000,284.20000000
-1931-10-06,Annular,00:09:19,559,38.0S,135.1W,-38.03269000,-135.05127000,3,-.66296000,.91674000,417.70000000
-1930-04-01,Total,00:06:43,403,3.7S,83.6E,-3.65111000,83.63220000,8,-.02467000,1.07595000,245.90000000
-1930-09-25,Annular,00:07:55,475,7.7N,112.5W,7.65919000,-112.54364000,13,.03166000,.93736000,232.90000000
-1929-03-22,Total,00:02:13,133,54.5S,127.0W,-54.52521000,-127.00281000,18,-.78342000,1.03033000,164.30000000
-1929-09-14,Annular,00:01:14,74,54.7N,172.8W,54.65685000,-172.77496000,23,.73258000,.98464000,79.60000000
-1928-02-10,Partial,,,68.8N,105.8W,68.81264000,-105.79791000,-10,1.24571000,.54180000,.00000000
-1928-08-04,Partial,,,67.8S,99.4E,-67.81999000,99.41473000,-5,-1.22158000,.59320000,.00000000
-1928-09-03,Partial,,,70.2N,112.4E,70.24738000,112.41797000,33,1.38385000,.28629000,.00000000
-1927-01-29,Annular,00:10:18,618,11.5N,85.7W,11.49133000,-85.73602000,0,.54908000,.92740000,326.10000000
-1927-07-25,Total,00:05:16,316,8.6S,137.3W,-8.57864000,-137.34308000,5,-.52490000,1.05355000,208.00000000
