year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2111,2111-02-08,142,T,74.5,1.5,84.1,-6.71,56.35,-3.22,67.25,-6.7..-3.2,56.3..67.3
2413,2413-04-30,135,T,29.5,1.5,89.3,-33.02,-47.56,-34.90,-37.81,-34.9..-33.0,-47.6..-37.8
2501,2501-02-19,148,T,78.9,1.5,121.0,22.88,168.18,25.29,178.11,22.9..25.3,168.2..178.1
2692,2692-10-31,154,T,58.5,1.5,146.8,4.54,-81.88,6.71,-71.44,4.5..6.7,-81.9..-71.4
2502,2502-02-08,158,T,60.7,1.5,82.5,-19.83,-56.89,-16.40,-46.18,-19.8..-16.4,-56.9..-46.2
2082,2082-08-24,146,T,66.3,1.5,116.1,-46.51,-155.41,-48.60,-147.02,-48.6..-46.5,-155.4..-147.0
2436,2436-08-13,152,Tm,87.1,1.6,84.1,-22.96,-151.27,-26.07,-141.70,-26.1..-23.0,-151.3..-141.7
2601,2601-03-26,139,T,12.4,1.6,30.0,-50.43,53.40,-48.63,62.77,-72.9..-48.6,53.4..65.3
2627,2627-05-07,148,T,65.4,1.6,176.6,36.86,32.53,34.28,41.25,34.3..36.9,32.5..41.2
2214,2214-07-08,130,T,26.4,1.6,77.4,50.64,55.02,46.95,61.51,46.9..50.6,55.0..61.5
2841,2841-05-12,161,T,89.1,1.6,65.9,23.49,97.71,20.63,107.06,20.6..23.5,97.7..107.1
2400,2400-07-22,152,T,78.6,1.7,116.0,-23.10,64.73,-27.02,73.76,-27.0..-23.1,64.7..73.8
2574,2574-03-24,158,T,65.0,1.7,94.8,-7.42,143.84,-7.22,154.66,-7.4..-7.2,143.8..154.7
2741,2741-04-08,170,T,32.0,1.7,162.2,-39.98,-153.48,-40.68,-144.10,-40.7..-40.0,-153.5..-144.1
2762,2762-08-12,167,T,70.1,1.7,208.6,10.41,-160.31,7.36,-150.61,7.4..10.4,-160.3..-150.6
2881,2881-03-21,163,T,89.6,1.8,20.2,29.09,140.03,29.58,150.37,29.1..29.6,140.0..150.4
2052,2052-03-30,130,T,71.0,1.8,119.0,36.98,-41.31,36.53,-30.28,36.5..37.0,-41.3..-30.3
2740,2740-04-18,160,T,81.5,1.8,50.6,8.61,65.72,6.77,76.77,6.8..8.6,65.7..76.8
2223,2223-07-28,149,T,68.5,1.8,127.1,16.52,-97.20,12.88,-87.83,12.9..16.5,-97.2..-87.8
